date,type,breakdown,transaction_volume,transaction_nominal
1/7/2022,UE Non-Bank,Transfer Pemerintah,,
1/8/2022,UE Non-Bank,Transfer Pemerintah,,
1/9/2022,UE Non-Bank,Transfer Pemerintah,,
1/10/2022,UE Non-Bank,Transfer Pemerintah,,
1/11/2022,UE Non-Bank,Transfer Pemerintah,,
1/12/2022,UE Non-Bank,Transfer Pemerintah,,
1/1/2023,UE Non-Bank,Transfer Pemerintah,,
1/2/2023,UE Non-Bank,Transfer Pemerintah,,
1/3/2023,UE Non-Bank,Transfer Pemerintah,,
1/4/2023,UE Non-Bank,Transfer Pemerintah,,
1/5/2023,UE Non-Bank,Transfer Pemerintah,,
1/6/2023,UE Non-Bank,Transfer Pemerintah,,
1/7/2023,UE Non-Bank,Transfer Pemerintah,,
1/8/2023,UE Non-Bank,Transfer Pemerintah,,
1/9/2023,UE Non-Bank,Transfer Pemerintah,,
1/1/2019,UE Non-Bank,Top Up,53071957,4.40E+13
1/2/2019,UE Non-Bank,Top Up,63553727,4.16E+13
1/3/2019,UE Non-Bank,Top Up,75719701,1.69E+13
1/4/2019,UE Non-Bank,Top Up,77384529,1.39E+13
1/5/2019,UE Non-Bank,Top Up,84431194,4.77E+13
1/6/2019,UE Non-Bank,Top Up,76371794,1.06E+13
1/7/2019,UE Non-Bank,Top Up,84863012,1.20E+13
1/8/2019,UE Non-Bank,Top Up,104303561,1.30E+13
1/9/2019,UE Non-Bank,Top Up,130823982,1.48E+13
1/10/2019,UE Non-Bank,Top Up,142504115,1.73E+13
1/11/2019,UE Non-Bank,Top Up,135122206,1.68E+13
1/12/2019,UE Non-Bank,Top Up,134271437,1.70E+13
1/1/2020,UE Non-Bank,Top Up,1865452621,1.57E+13
1/2/2020,UE Non-Bank,Top Up,1893271529,1.54E+13
1/3/2020,UE Non-Bank,Top Up,1167177163,1.61E+13
1/4/2020,UE Non-Bank,Top Up,249752998,1.47E+13
1/5/2020,UE Non-Bank,Top Up,176516640,1.69E+13
1/6/2020,UE Non-Bank,Top Up,540065289,1.61E+13
1/7/2020,UE Non-Bank,Top Up,819652872,1.79E+13
1/8/2020,UE Non-Bank,Top Up,787654020,1.88E+13
1/9/2020,UE Non-Bank,Top Up,636721809,2.06E+13
1/10/2020,UE Non-Bank,Top Up,575496314,2.29E+13
1/11/2020,UE Non-Bank,Top Up,379335502,2.43E+13
1/12/2020,UE Non-Bank,Top Up,766259039,2.72E+13
1/1/2021,UE Non-Bank,Top Up,691570763,2.57E+13
1/2/2021,UE Non-Bank,Top Up,722297908,2.32E+13
1/3/2021,UE Non-Bank,Top Up,970185387,2.68E+13
1/4/2021,UE Non-Bank,Top Up,992469266,2.92E+13
1/5/2021,UE Non-Bank,Top Up,1065515007,3.75E+13
1/6/2021,UE Non-Bank,Top Up,976010825,3.09E+13
1/7/2021,UE Non-Bank,Top Up,354771783,3.32E+13
1/8/2021,UE Non-Bank,Top Up,406365383,3.28E+13
1/9/2021,UE Non-Bank,Top Up,683061354,3.40E+13
1/10/2021,UE Non-Bank,Top Up,862576188,2.64E+13
1/11/2021,UE Non-Bank,Top Up,1071529968,2.76E+13
1/12/2021,UE Non-Bank,Top Up,1265534806,2.96E+13
1/1/2022,UE Non-Bank,Top Up,164631528,2.71E+13
1/2/2022,UE Non-Bank,Top Up,157445746,2.63E+13
1/3/2022,UE Non-Bank,Top Up,174895844,3.03E+13
1/4/2022,UE Non-Bank,Top Up,182963837,3.43E+13
1/5/2022,UE Non-Bank,Top Up,174120236,3.08E+13
1/6/2022,UE Non-Bank,Top Up,176837973,3.24E+13
1/7/2022,UE Non-Bank,Top Up,194868389,3.62E+13
1/8/2022,UE Non-Bank,Top Up,248531999,3.57E+13
1/9/2022,UE Non-Bank,Top Up,263174111,3.59E+13
1/10/2022,UE Non-Bank,Top Up,365067569,6.55E+13
1/11/2022,UE Non-Bank,Top Up,483357887,6.66E+13
1/12/2022,UE Non-Bank,Top Up,465509155,7.28E+13
1/1/2023,UE Non-Bank,Top Up,415615154,6.88E+13
1/2/2023,UE Non-Bank,Top Up,499101702,6.46E+13
1/3/2023,UE Non-Bank,Top Up,714557328,7.34E+13
1/4/2023,UE Non-Bank,Top Up,751759704,7.77E+13
1/5/2023,UE Non-Bank,Top Up,756736022,7.71E+13
1/6/2023,UE Non-Bank,Top Up,1351215847,7.83E+13
1/7/2023,UE Non-Bank,Top Up,683300271,8.17E+13
1/8/2023,UE Non-Bank,Top Up,931649603,8.04E+13
1/9/2023,UE Non-Bank,Top Up,603051352,8.03E+13
1/1/2019,UE Non-Bank,Transfer,4435752,2.93E+11
1/2/2019,UE Non-Bank,Transfer,12453616,5.18E+11
1/3/2019,UE Non-Bank,Transfer,7210629,4.46E+11
1/4/2019,UE Non-Bank,Transfer,8474733,4.76E+11
1/5/2019,UE Non-Bank,Transfer,13660294,7.13E+11
1/6/2019,UE Non-Bank,Transfer,13543882,6.90E+11
1/7/2019,UE Non-Bank,Transfer,19675800,9.20E+11
1/8/2019,UE Non-Bank,Transfer,27702673,1.40E+12
1/9/2019,UE Non-Bank,Transfer,29724994,1.54E+12
1/10/2019,UE Non-Bank,Transfer,26255676,1.43E+12
1/11/2019,UE Non-Bank,Transfer,24634593,1.43E+12
1/12/2019,UE Non-Bank,Transfer,21825540,1.35E+12
1/1/2020,UE Non-Bank,Transfer,15241672,1.05E+12
1/2/2020,UE Non-Bank,Transfer,15973720,9.96E+11
1/3/2020,UE Non-Bank,Transfer,17187484,1.05E+12
1/4/2020,UE Non-Bank,Transfer,14119070,9.78E+11
1/5/2020,UE Non-Bank,Transfer,11645515,9.46E+11
1/6/2020,UE Non-Bank,Transfer,16147822,1.12E+12
1/7/2020,UE Non-Bank,Transfer,19427047,1.22E+12
1/8/2020,UE Non-Bank,Transfer,20919595,1.28E+12
1/9/2020,UE Non-Bank,Transfer,21301270,1.44E+12
1/10/2020,UE Non-Bank,Transfer,23671187,1.61E+12
1/11/2020,UE Non-Bank,Transfer,22661521,1.71E+12
1/12/2020,UE Non-Bank,Transfer,27280844,1.89E+12
1/1/2021,UE Non-Bank,Transfer,22465023,1.75E+12
1/2/2021,UE Non-Bank,Transfer,23198199,1.63E+12
1/3/2021,UE Non-Bank,Transfer,27289491,1.96E+12
1/4/2021,UE Non-Bank,Transfer,24884896,2.11E+12
1/5/2021,UE Non-Bank,Transfer,32082547,2.57E+12
1/6/2021,UE Non-Bank,Transfer,43906728,2.63E+12
1/7/2021,UE Non-Bank,Transfer,34035296,2.71E+12
1/8/2021,UE Non-Bank,Transfer,37940668,3.02E+12
1/9/2021,UE Non-Bank,Transfer,41279214,3.46E+12
1/10/2021,UE Non-Bank,Transfer,47626110,4.05E+12
1/11/2021,UE Non-Bank,Transfer,55001356,4.61E+12
1/12/2021,UE Non-Bank,Transfer,65447198,5.59E+12
1/1/2022,UE Non-Bank,Transfer,70779650,5.65E+12
1/2/2022,UE Non-Bank,Transfer,71035097,5.54E+12
1/3/2022,UE Non-Bank,Transfer,89945463,6.81E+12
1/4/2022,UE Non-Bank,Transfer,99849018,7.71E+12
1/5/2022,UE Non-Bank,Transfer,117725417,8.43E+12
1/6/2022,UE Non-Bank,Transfer,148789176,1.35E+13
1/7/2022,UE Non-Bank,Transfer,180094194,1.71E+13
1/8/2022,UE Non-Bank,Transfer,177131926,1.67E+13
1/9/2022,UE Non-Bank,Transfer,171168561,1.75E+13
1/10/2022,UE Non-Bank,Transfer,191331194,2.02E+13
1/11/2022,UE Non-Bank,Transfer,203969676,2.10E+13
1/12/2022,UE Non-Bank,Transfer,232623715,2.32E+13
1/1/2023,UE Non-Bank,Transfer,237928619,2.29E+13
1/2/2023,UE Non-Bank,Transfer,227680969,2.19E+13
1/3/2023,UE Non-Bank,Transfer,262273455,2.49E+13
1/4/2023,UE Non-Bank,Transfer,303071285,2.83E+13
1/5/2023,UE Non-Bank,Transfer,323800603,2.93E+13
1/6/2023,UE Non-Bank,Transfer,337876109,3.02E+13
1/7/2023,UE Non-Bank,Transfer,359851921,3.20E+13
1/8/2023,UE Non-Bank,Transfer,349622102,3.14E+13
1/9/2023,UE Non-Bank,Transfer,349749831,3.17E+13
1/1/2019,UE Non-Bank,Tunai,364727,1.72E+11
1/2/2019,UE Non-Bank,Tunai,429648,2.00E+11
1/3/2019,UE Non-Bank,Tunai,585583,2.84E+11
1/4/2019,UE Non-Bank,Tunai,616677,2.85E+11
1/5/2019,UE Non-Bank,Tunai,1246949,4.02E+11
1/6/2019,UE Non-Bank,Tunai,1201370,2.87E+11
1/7/2019,UE Non-Bank,Tunai,893221,3.37E+11
1/8/2019,UE Non-Bank,Tunai,1126279,4.37E+11
1/9/2019,UE Non-Bank,Tunai,1092103,3.32E+11
1/10/2019,UE Non-Bank,Tunai,1659128,5.56E+11
1/11/2019,UE Non-Bank,Tunai,1703628,5.61E+11
1/12/2019,UE Non-Bank,Tunai,2218951,8.01E+11
1/1/2020,UE Non-Bank,Tunai,2126333,7.51E+11
1/2/2020,UE Non-Bank,Tunai,2156143,7.76E+11
1/3/2020,UE Non-Bank,Tunai,2410086,7.66E+11
1/4/2020,UE Non-Bank,Tunai,4207543,1.31E+12
1/5/2020,UE Non-Bank,Tunai,3442706,1.10E+12
1/6/2020,UE Non-Bank,Tunai,3398179,1.04E+12
1/7/2020,UE Non-Bank,Tunai,4018406,1.23E+12
1/8/2020,UE Non-Bank,Tunai,4149316,1.26E+12
1/9/2020,UE Non-Bank,Tunai,5746999,1.98E+12
1/10/2020,UE Non-Bank,Tunai,7565547,2.66E+12
1/11/2020,UE Non-Bank,Tunai,8139619,2.88E+12
