date,type,breakdown,transaction_volume,transaction_nominal
1/6/2019,UE Bank,Top Up,23624245,1.06E+13
1/7/2019,UE Bank,Top Up,22687508,1.20E+13
1/8/2019,UE Bank,Top Up,19618997,1.30E+13
1/9/2019,UE Bank,Top Up,19714270,1.48E+13
1/10/2019,UE Bank,Top Up,21318536,1.73E+13
1/11/2019,UE Bank,Top Up,20891760,1.68E+13
1/12/2019,UE Bank,Top Up,23427441,1.70E+13
1/1/2020,UE Bank,Top Up,21647912,1.57E+13
1/2/2020,UE Bank,Top Up,22070716,1.54E+13
1/3/2020,UE Bank,Top Up,20177787,1.61E+13
1/4/2020,UE Bank,Top Up,9046053,1.47E+13
1/5/2020,UE Bank,Top Up,8743202,1.69E+13
1/6/2020,UE Bank,Top Up,12881106,1.61E+13
1/7/2020,UE Bank,Top Up,15678594,1.79E+13
1/8/2020,UE Bank,Top Up,16222788,1.88E+13
1/9/2020,UE Bank,Top Up,14868230,2.06E+13
1/10/2020,UE Bank,Top Up,16445210,2.29E+13
1/11/2020,UE Bank,Top Up,17395764,2.43E+13
1/12/2020,UE Bank,Top Up,18184473,2.72E+13
1/1/2021,UE Bank,Top Up,16538397,2.57E+13
1/2/2021,UE Bank,Top Up,16119121,2.32E+13
1/3/2021,UE Bank,Top Up,18072960,2.68E+13
1/4/2021,UE Bank,Top Up,19065504,2.92E+13
1/5/2021,UE Bank,Top Up,18484197,3.75E+13
1/6/2021,UE Bank,Top Up,19125045,3.09E+13
1/7/2021,UE Bank,Top Up,14169946,3.32E+13
1/8/2021,UE Bank,Top Up,10995929,3.28E+13
1/9/2021,UE Bank,Top Up,19373468,3.40E+13
1/10/2021,UE Bank,Top Up,22154914,2.64E+13
1/11/2021,UE Bank,Top Up,21406098,2.76E+13
1/12/2021,UE Bank,Top Up,23969255,2.96E+13
1/1/2022,UE Bank,Top Up,20779665,2.71E+13
1/2/2022,UE Bank,Top Up,16365996,2.63E+13
1/3/2022,UE Bank,Top Up,21765362,3.03E+13
1/4/2022,UE Bank,Top Up,20180431,3.43E+13
1/5/2022,UE Bank,Top Up,22205773,3.08E+13
1/6/2022,UE Bank,Top Up,21821753,3.24E+13
1/7/2022,UE Bank,Top Up,26631473,3.62E+13
1/8/2022,UE Bank,Top Up,25652766,3.57E+13
1/9/2022,UE Bank,Top Up,25051767,3.59E+13
1/10/2022,UE Bank,Top Up,27238140,6.55E+13
1/11/2022,UE Bank,Top Up,26370677,6.66E+13
1/12/2022,UE Bank,Top Up,29164244,7.28E+13
1/1/2023,UE Bank,Top Up,27757294,6.88E+13
1/2/2023,UE Bank,Top Up,26688730,6.46E+13
1/3/2023,UE Bank,Top Up,28901274,7.34E+13
1/4/2023,UE Bank,Top Up,29013989,7.77E+13
1/5/2023,UE Bank,Top Up,29805178,7.71E+13
1/6/2023,UE Bank,Top Up,30101088,7.83E+13
1/7/2023,UE Bank,Top Up,32129282,8.17E+13
1/8/2023,UE Bank,Top Up,31121987,8.04E+13
1/9/2023,UE Bank,Top Up,31549805,8.03E+13
1/1/2019,UE Bank,Transfer,3399374,4.84E+11
1/2/2019,UE Bank,Transfer,3483954,5.12E+11
1/3/2019,UE Bank,Transfer,3734581,5.80E+11
1/4/2019,UE Bank,Transfer,3191196,5.11E+11
1/5/2019,UE Bank,Transfer,3390628,5.74E+11
1/6/2019,UE Bank,Transfer,2438426,3.95E+11
1/7/2019,UE Bank,Transfer,3645955,5.68E+11
1/8/2019,UE Bank,Transfer,3802343,6.14E+11
1/9/2019,UE Bank,Transfer,3320412,5.23E+11
1/10/2019,UE Bank,Transfer,3246565,5.18E+11
1/11/2019,UE Bank,Transfer,3226669,5.26E+11
1/12/2019,UE Bank,Transfer,2670797,4.36E+11
1/1/2020,UE Bank,Transfer,2343087,3.70E+11
1/2/2020,UE Bank,Transfer,2024993,3.05E+11
1/3/2020,UE Bank,Transfer,1914686,3.04E+11
1/4/2020,UE Bank,Transfer,1652738,2.49E+11
1/5/2020,UE Bank,Transfer,1653386,2.49E+11
1/6/2020,UE Bank,Transfer,1309796,2.13E+11
1/7/2020,UE Bank,Transfer,1397161,2.19E+11
1/8/2020,UE Bank,Transfer,1428120,2.41E+11
1/9/2020,UE Bank,Transfer,1438428,2.49E+11
1/10/2020,UE Bank,Transfer,1330430,2.22E+11
1/11/2020,UE Bank,Transfer,1246091,2.12E+11
1/12/2020,UE Bank,Transfer,1288339,2.30E+11
1/1/2021,UE Bank,Transfer,1216489,2.14E+11
1/2/2021,UE Bank,Transfer,1124681,1.99E+11
1/3/2021,UE Bank,Transfer,1127002,2.02E+11
1/4/2021,UE Bank,Transfer,1002609,1.91E+11
1/5/2021,UE Bank,Transfer,1007844,2.07E+11
1/6/2021,UE Bank,Transfer,1117182,2.09E+11
1/7/2021,UE Bank,Transfer,1271273,2.35E+11
1/8/2021,UE Bank,Transfer,1400489,2.35E+11
1/9/2021,UE Bank,Transfer,1391071,2.30E+11
1/10/2021,UE Bank,Transfer,1495368,2.55E+11
1/11/2021,UE Bank,Transfer,1269075,2.15E+11
1/12/2021,UE Bank,Transfer,1327796,2.36E+11
1/1/2022,UE Bank,Transfer,1183682,2.00E+11
1/2/2022,UE Bank,Transfer,1036528,1.83E+11
1/3/2022,UE Bank,Transfer,1089329,1.98E+11
1/4/2022,UE Bank,Transfer,1034441,2.17E+11
1/5/2022,UE Bank,Transfer,869072,1.67E+11
1/6/2022,UE Bank,Transfer,951759,1.76E+11
1/7/2022,UE Bank,Transfer,905943,1.79E+11
1/8/2022,UE Bank,Transfer,960673,1.87E+11
1/9/2022,UE Bank,Transfer,974401,1.88E+11
1/10/2022,UE Bank,Transfer,974775,1.90E+11
1/11/2022,UE Bank,Transfer,969345,1.88E+11
1/12/2022,UE Bank,Transfer,1037458,2.13E+11
1/1/2023,UE Bank,Transfer,1065751,2.05E+11
1/2/2023,UE Bank,Transfer,929683,1.80E+11
1/3/2023,UE Bank,Transfer,1074976,2.29E+11
1/4/2023,UE Bank,Transfer,1045599,2.51E+11
1/5/2023,UE Bank,Transfer,1081700,2.18E+11
1/6/2023,UE Bank,Transfer,1086219,2.19E+11
1/7/2023,UE Bank,Transfer,1179235,2.46E+11
1/8/2023,UE Bank,Transfer,1242078,2.53E+11
1/9/2023,UE Bank,Transfer,1230554,2.49E+11
1/1/2019,UE Bank,Tunai,1749512,3.45E+11
1/2/2019,UE Bank,Tunai,1701635,3.62E+11
1/3/2019,UE Bank,Tunai,1821363,4.08E+11
1/4/2019,UE Bank,Tunai,1534850,3.54E+11
1/5/2019,UE Bank,Tunai,1524246,3.85E+11
1/6/2019,UE Bank,Tunai,1061797,2.63E+11
1/7/2019,UE Bank,Tunai,1605053,3.65E+11
1/8/2019,UE Bank,Tunai,1675491,3.99E+11
1/9/2019,UE Bank,Tunai,1513172,3.43E+11
1/10/2019,UE Bank,Tunai,1502862,3.28E+11
1/11/2019,UE Bank,Tunai,1472591,3.30E+11
1/12/2019,UE Bank,Tunai,1222355,2.64E+11
1/1/2020,UE Bank,Tunai,1055354,2.08E+11
1/2/2020,UE Bank,Tunai,931492,1.77E+11
1/3/2020,UE Bank,Tunai,1755108,3.38E+11
1/4/2020,UE Bank,Tunai,716208,1.50E+11
1/5/2020,UE Bank,Tunai,1179032,2.51E+11
1/6/2020,UE Bank,Tunai,593987,1.10E+11
1/7/2020,UE Bank,Tunai,623597,1.08E+11
1/8/2020,UE Bank,Tunai,587656,1.06E+11
1/9/2020,UE Bank,Tunai,575326,1.05E+11
1/10/2020,UE Bank,Tunai,523717,9.86E+10
1/11/2020,UE Bank,Tunai,467159,8.84E+10
1/12/2020,UE Bank,Tunai,452338,9.25E+10
1/1/2021,UE Bank,Tunai,443910,8.63E+10
1/2/2021,UE Bank,Tunai,397885,7.64E+10
1/3/2021,UE Bank,Tunai,377843,7.43E+10
1/4/2021,UE Bank,Tunai,293090,6.48E+10
1/5/2021,UE Bank,Tunai,259677,6.80E+10
1/6/2021,UE Bank,Tunai,316758,7.19E+10
1/7/2021,UE Bank,Tunai,358972,8.12E+10
1/8/2021,UE Bank,Tunai,398082,8.05E+10
1/9/2021,UE Bank,Tunai,404157,8.05E+10
1/10/2021,UE Bank,Tunai,413637,8.43E+10
1/11/2021,UE Bank,Tunai,407148,8.59E+10
1/12/2021,UE Bank,Tunai,420054,9.31E+10
1/1/2022,UE Bank,Tunai,386381,8.10E+10
1/2/2022,UE Bank,Tunai,325412,6.88E+10
1/3/2022,UE Bank,Tunai,331306,7.03E+10
1/4/2022,UE Bank,Tunai,280626,7.32E+10
1/5/2022,UE Bank,Tunai,217921,5.46E+10
1/6/2022,UE Bank,Tunai,271346,6.11E+10
1/7/2022,UE Bank,Tunai,269928,6.17E+10
1/8/2022,UE Bank,Tunai,280039,6.11E+10
1/9/2022,UE Bank,Tunai,284905,6.21E+10
1/10/2022,UE Bank,Tunai,281930,6.14E+10
1/11/2022,UE Bank,Tunai,275945,5.99E+10
1/12/2022,UE Bank,Tunai,264261,6.00E+10
1/1/2023,UE Bank,Tunai,254586,5.54E+10
1/2/2023,UE Bank,Tunai,204482,4.59E+10
1/3/2023,UE Bank,Tunai,215912,4.83E+10
1/4/2023,UE Bank,Tunai,163179,4.54E+10
1/5/2023,UE Bank,Tunai,193281,4.33E+10
1/6/2023,UE Bank,Tunai,193756,4.32E+10
1/7/2023,UE Bank,Tunai,219915,5.04E+10
1/8/2023,UE Bank,Tunai,233041,5.10E+10
1/9/2023,UE Bank,Tunai,213478,4.46E+10
1/1/2019,UE Bank,Redeem,8319,2092582937
1/2/2019,UE Bank,Redeem,6238,1529210734
1/3/2019,UE Bank,Redeem,6950,1706716773
1/4/2019,UE Bank,Redeem,7022,1637115670
1/5/2019,UE Bank,Redeem,7983,1981650000
1/6/2019,UE Bank,Redeem,7180,2018945229
1/7/2019,UE Bank,Redeem,8478,2278150000
1/8/2019,UE Bank,Redeem,7979,1963530000
1/9/2019,UE Bank,Redeem,8022,2401840000
1/10/2019,UE Bank,Redeem,8576,2134160000
1/11/2019,UE Bank,Redeem,7797,2211540000
1/12/2019,UE Bank,Redeem,9189,2999230000
1/1/2020,UE Bank,Redeem,10383,3359190000
1/2/2020,UE Bank,Redeem,10277,2702190000
